MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,MFCC_14,MFCC_15,MFCC_16,MFCC_17,MFCC_18,MFCC_19,MFCC_20,MFCC_21,MFCC_22,MFCC_23,MFCC_24,MFCC_25,MFCC_26,MFCC_27,MFCC_28,MFCC_29,MFCC_30,MFCC_31,MFCC_32,MFCC_33,MFCC_34,MFCC_35,MFCC_36,MFCC_37,MFCC_38,MFCC_39,MFCC_40,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,ZeroCrossings_1,SpectralContrast_1,SpectralContrast_2,SpectralContrast_3,SpectralContrast_4,SpectralContrast_5,SpectralContrast_6,SpectralContrast_7
-329.86462,138.34781,-18.909912,81.78028,-5.3200536,-40.618942,-7.4082966,-22.18288,-31.005531,-13.205492,-20.84575,8.363235,-4.766196,-28.478926,9.524719,-5.091942,-1.116951,9.50285,2.59584,-16.005316,10.240806,10.240806,10.240806,10.240806,10.240806,-14.208577,-5.4272594,-5.15026,2.1877408,2.128973,2.0481887,2.9247866,2.7965624,2.2900054,2.131178,-0.1677703,-0.1677703,-0.1677703,-0.1677703,-0.1677703,0.00061088573,0.0005215976,0.0006279912,0.0020584355,0.0036604158,0.0033998382,0.0041905167,0.025981007,0.5390098,1.0,0.13910644,0.0024792345,0.03857421875,28.509252711864786,20.715817807307914,31.752107664184862,23.6622313858377,20.1632966067347,30.794388110020698,59.77083445683437
-301.65643,158.91318,-26.441055,68.46591,-1.3660369,-38.58848,-17.37441,-18.656609,-27.645355,-12.730934,-22.945736,0.57283854,-2.9294167,-26.51088,10.47082,-3.3598762,-1.0293825,11.718126,1.7154251,-13.899645,7.9068975,7.9068975,7.9068975,7.9068975,7.9068975,-14.674046,-4.3706,-4.914454,1.7668911,2.2467318,2.5092294,2.7998648,2.905441,2.8180017,2.6505263,0.35004002,0.35004002,0.35004002,0.35004002,0.35004002,0.002769209,0.0016701199,0.0019628042,0.0031947119,0.0046871416,0.0036896006,0.008023536,0.06991307,0.705059,1.0,0.19709736,0.008561412,0.03955078125,26.85478431051054,14.825191723921119,25.843896920167985,15.46310874521068,20.34510962642428,23.704712220793873,58.50563954103159
-300.37634,153.49356,-29.840591,69.47345,4.586786,-36.978813,-16.30111,-10.42248,-27.491165,-9.978596,-26.801636,-0.4843133,2.8472881,-25.714733,10.637497,-3.911975,-1.9105871,8.401702,-4.016241,-13.610705,8.673655,8.673655,8.673655,8.673655,8.673655,-13.792002,-4.3966646,-5.519766,1.366139,2.051123,2.2008142,2.3100777,2.836167,2.485487,2.1681106,-0.2901895,-0.2901895,-0.2901895,-0.2901895,-0.2901895,0.006386487,0.0054987506,0.009953045,0.013101317,0.007379215,0.008148106,0.06003383,0.42903355,1.0,0.44281882,0.13486092,0.01830894,0.0390625,27.374128927756267,26.200958266083727,27.18553474175714,16.5431673808492,14.763557464545517,25.556698557495,60.90978078335063
-321.88223,143.01697,-19.471794,73.89753,12.799513,-31.348736,-17.813465,-6.312237,-28.34792,-11.812216,-27.17471,1.215561,3.1105237,-22.507729,10.720584,-8.841376,1.9286778,5.384481,-4.4451423,-12.246559,10.403667,10.403667,10.403667,10.403667,10.403667,-13.949627,-5.753321,-6.3685327,0.5785744,1.90608,2.3582397,1.9330527,3.03477,2.393219,1.9121281,-0.49204943,-0.49204943,-0.49204943,-0.49204943,-0.49204943,0.0076423897,0.0115530435,0.017875103,0.019033384,0.017427627,0.09698809,0.4276134,1.0,0.93999696,0.34383678,0.085932955,0.016940339,0.03466796875,33.132991784376955,17.366189540446506,26.73140163871036,15.85342225841482,17.692444053279374,23.51243210802205,63.75448982486168
-350.96594,128.07973,-6.864847,76.60777,13.915155,-24.754564,-18.106482,2.353106,-21.17603,-12.603264,-22.35118,-1.3129318,2.2927737,-14.815966,10.973393,-11.660923,3.1472678,1.3933537,-5.317318,-10.214845,13.63557,13.63557,13.63557,13.63557,13.63557,-13.103274,-6.2108855,-6.654146,0.006493429,1.540749,2.0506704,1.0101783,2.5544386,2.007774,1.3519722,-0.56409025,-0.56409025,-0.56409025,-0.56409025,-0.56409025,0.015909066,0.025140103,0.011495846,0.012374345,0.07381769,0.6030176,1.0,0.48818576,0.4849809,0.5197978,0.08141083,0.010658648,0.03466796875,36.35685965751479,18.301751227283596,22.425603931042584,15.184027164391734,17.1248565281725,20.34232339143375,66.7597924424791
-364.09818,119.27152,0.48402274,84.90529,9.2950325,-26.532742,-14.042332,1.794595,-21.381508,-12.776392,-22.323635,-6.207225,-0.51167905,-12.223277,12.606097,-7.18148,4.842414,-0.55707324,-5.113036,-10.8206,14.63242,14.63242,14.63242,14.63242,14.63242,-13.055783,-6.955024,-7.318876,-0.15639816,1.3480675,1.8808154,1.482945,3.092064,2.3590782,1.6923805,-0.27814743,-0.27814743,-0.27814743,-0.27814743,-0.27814743,0.003661775,0.00689894,0.00615999,0.0072224084,0.058587853,0.2683793,0.64258456,1.0,0.68519557,0.23195201,0.027156472,0.004433552,0.03515625,34.208622134860015,25.06443190515033,23.743364695348518,17.268468663315982,16.63511167298094,21.340031101130293,63.90373179366016
-361.32098,108.44865,-5.673529,96.98378,1.8387024,-31.914875,-0.39857316,-7.615008,-28.553223,-9.458702,-27.23985,3.0989442,-5.9741225,-23.261784,16.593397,-6.1974354,7.44048,0.17510219,-2.8805513,-8.388222,14.408855,14.408855,14.408855,14.408855,14.408855,-12.528389,-7.367945,-7.433622,0.30439854,0.6771166,1.31239,2.246162,3.5844064,2.442516,2.2093203,0.017548408,0.017548408,0.017548408,0.017548408,0.017548408,0.001497595,0.0019590047,0.0030780074,0.0037983672,0.008229968,0.03926107,0.06759216,0.37114823,1.0,0.3398145,0.017052129,0.0020725953,0.03515625,31.632311954776135,19.872749332392836,33.76448263924881,21.99961737120099,18.000934204967113,28.375588450056366,65.08612124154
-345.90912,115.27109,-11.912571,92.78861,-3.1353087,-34.745567,3.753778,-9.861755,-31.41725,-6.047269,-30.547327,7.713237,-1.8813428,-27.727543,17.679253,-3.9701078,6.186631,-1.0835419,-2.8258896,-8.748185,13.106125,13.106125,13.106125,13.106125,13.106125,-12.369986,-6.7121124,-6.6718664,1.1267426,0.78644407,1.2489476,2.6026921,3.6276565,2.1041782,2.0731466,-0.4480658,-0.4480658,-0.4480658,-0.4480658,-0.4480658,0.0017985386,0.0017871511,0.0029212574,0.0040883897,0.005831318,0.012000493,0.04120423,0.309456,1.0,0.39356154,0.017002879,0.0016557312,0.05224609375,25.446459873667948,29.22204290437761,30.787226882617514,18.82879770914334,21.25468464810218,29.830867660744225,64.26503290784038
-325.7158,104.47858,1.2792954,98.577576,-20.20021,-16.040787,-14.144761,-2.4521222,-31.332344,-18.934757,-13.7913,-8.453457,3.2754176,-21.982704,7.2927437,8.675064,1.34191,-4.641635,0.34805107,-9.82037,11.854587,11.854587,11.854587,11.854587,11.854587,-13.12487,-7.024916,-7.197882,1.6814798,0.56718737,1.7809182,2.8559139,4.0360885,2.3474414,1.579727,0.24135923,0.24135923,0.24135923,0.24135923,0.24135923,0.0050672167,0.004856828,0.005034057,0.009933191,0.02690275,0.046907045,0.14906779,0.64413893,1.0,0.3652079,0.02074513,0.00560694,0.09912109375,31.92269542103621,22.393319581302187,23.956362020177252,14.685271433225036,20.681307919488532,21.098380173288206,66.56065415383048
-327.5508,66.52821,10.757107,120.88661,-27.358803,5.3704176,-13.51305,5.540346,-36.069237,-16.651772,-1.7976878,-17.73705,9.281992,-14.231661,4.92306,10.948578,0.069565356,-12.177787,3.1956406,-8.547189,13.648437,13.648437,13.648437,13.648437,13.648437,-11.500763,-8.001421,-9.073531,1.3079897,-0.3717738,1.7340933,2.6754954,4.071719,1.275167,0.7234414,0.2959107,0.2959107,0.2959107,0.2959107,0.2959107,0.030361839,0.023234155,0.031912815,0.0731285,0.15829727,0.25736707,0.40103996,0.86932474,1.0,0.54635197,0.09810954,0.035967037,0.1572265625,23.26114370245073,18.756442147728656,23.175731674941336,14.013678117888372,23.241115090212233,19.826688481743183,69.45074804359062
